###❝世界语词根❞,❝(完全相同的)世界语词根❞   这一行表示、虽然它具有与实际存在的对应替换字符串相同的优先级、但实际上并不执行字符串(汉字)替换操作。
世界语单词##,中文注释##
favor,有利的
graci,优雅
humil,谦逊
laŭt,响亮
sever,严厉
stult,愚笨
fortik,坚固
frenez,疯狂
kurioz,奇特
privat,私人的
sincer,真诚
evident,显然
oportun,便利
prudent,明智的
sci/vol##,sci/vol##
diligent,勤奋
proksim/um##,proksim/um##
ard,炽热
avid,渴望的
brav,勇敢
ebri,醉
krut,陡峭
naiv,天真
nobl,高贵
sobr,节制的
humid,潮湿的
ident,相同
komik,滑稽
kripl,残疾
kruel,残忍
moder,适度
sagac,机敏
seren,宁静
sprit,机智
akurat,准时
fervor,热情
inklin,倾向
ĵaluz,嫉妒
kapric,任性
modern,现代的
modest,谦虚
nenies,无人的
normal,正常
sovaĝ,野生的
ekstrem,极端
elegant,优雅
eminent,杰出
komplet,完整
oficial,官方
perfekt,完美
probabl,可能的
reciprok,相互的
indiferent,冷漠的
inteligent,聪明
amar,苦涩
imun,免疫的
real,真实的
ties,其人的
unik,独特
vant,无价值的
virg,纯洁的
aktiv,积极的
civil,市民的
ĉies,每个人的
elast,弹性的
human,人道的
intim,亲密
kaduk,衰老破旧
koket,风情
lojal,忠诚
malic,恶意
mir/ind##,mir/ind##
raŭk,嘶哑
rigid,僵硬的
sekur,安全
solen,庄严隆重
tener,温柔
valid,有效
abrupt,突然的
absurd,荒谬
aktual,当前的
arbitr,任意
aŭdac,大胆
ekzakt,精确
furioz,狂怒
graved,怀孕的
klasik,古典的
majest,庄严
nervoz,紧张不安
oblikv,斜
obstin,顽固
plen/aĝ##,plen/aĝ##
social,社会的
subtil,精细
tragik,悲剧性
absolut,绝对
kontant,现金的
popular,流行的
relativ,相对的
sin/don##,sin/don##
solidar,团结的
vegetar,素食的
familiar,亲密
grandioz,宏伟壮观
kolektiv,集体的
sin/gard##,sin/gard##
kompetent,能干的
universal,普遍的
kvit,无债
miop,近视的
punc,罂粟色的
ranc,腐臭
ĉast,贞洁
ekstr,特别的
masiv,厚重
antikv,古老
arogant,傲慢
konform,符合
trivial,琐碎的
elokvent,雄辩的
kriminal,刑事的
predikat,述部
akut,急性的
dual,双重
hirt,竖立的
kalv,秃头
banal,平庸
cinik,愤世嫉俗的
gotik,哥特式
inert,惰性的
obtuz,钝的
okult,神秘的
pasiv,被动
rigor,严格
stoik,斯多葛的
analog,类似
anonim,匿名
arkaik,古老
diafan,半透明
efemer,短暂
erotik,情色的
fiktiv,虚构的
formal,正式的
frivol,轻浮的
intens,强烈
invers,反向
konciz,简洁
konkav,凹的
mistik,神秘的
neŭtr,中性的
vulgar,通俗的
akcesor,附属的
apokrif,伪作的
arĥaik,古老
burlesk,滑稽的
decimal,十进制的
diskret,谨慎
fanatik,狂热的
grotesk,怪诞的
konkret,具体
kontinu,连续的
liberal,自由主义的
monoton,单调
negativ,否定的
nominal,名义上的
pozitiv,积极的
radikal,激进的
skeptik,怀疑的
solvent,有偿付能力的
abstrakt,抽象的
aŭtonom,自治的
eventual,可能的
inkluziv,包含
neŭtral,中立的
objektiv,客观的
ortodoks,正统
primitiv,原始的
provizor,临时的
racional,有理的
romantik,浪漫的
sinoptik,概览的
spontane,自发的
aŭtentik,真实的
definitiv,最终的
ekskluziv,排他
korelativ,相对的
respektiv,各自的
subjektiv,主观的
transitiv,他动的
spekulativ,思辨的
impertinent,无礼
konservativ,保守的
sentimental,多愁善感的
dek,十
mil,千
sep,七
ses,六
tri,三
unu,一
cent,百
kvar,四
kvin,五
naŭ,九
aŭ,或
nek,也不
sed,但
kvankam,虽然
plus,加
minus,减
ĉe,在
kun,与…一起
per,用
pri,关于
pro,因为
sen,无
sub,下方
sur,上面
tra,穿过
apud,近旁
krom,除外
laŭ,依照
post,后
inter,之间
super,上方
trans,对面
antaŭ,前面
ekster,外部
preter,经过
kontraŭ,对抗
malgraŭ,尽管
ĝi,它
ili,他们
kio,什么
oni,人们
ŝi,她
tio,"那,那个"
ĉio,一切
nenio,无物
tio ĉi##,tio ĉi##
dis,分散
mal,反
ĉef,主、首
eks,前任
mis,误
pra,原始
dev,必需
dir,说
don,给
est,是
far,做
fin,完结
hav,有
kon,知晓
leg,读
lev,举起
met,放置
mov,移动
pet,求
pov,能
rid,笑
sci,知晓
sid,坐
ten,持握
ven,来
vid,看
viv,活
vol,愿意
ĝoj,喜悦
help,帮忙
kred,信任
lern,学
loĝ,住
mort,死
okaz,发生
port,携带
pren,取
sekv,跟随
send,发送
star,站立
dezir,愿望
labor,工作
milit,作战
montr,示出
parol,说话
ricev,收取
skrib,写
ŝajn,似乎
vetur,乘坐
demand,问询
komenc,开始
kompren,理解
respond,答复
bat,打，击
fal,落下
kri,喊叫
kur,跑
las,放下
lum,发光
mir,惊讶
pag,付钱
pas,过
reg,统治
son,响
tim,怕
tir,拉
aŭd,听
brul,燃烧
dank,感谢
dorm,睡觉
ferm,关上
flug,飞翔
halt,停
ĵet,扔抛
kant,唱歌
kost,值钱
mank,缺乏
nask,生育
okup,占用
pens,思考
perd,失去
prem,压迫
prov,试
sent,感受
turn,转动
aĉet,购买
atend,等候
bezon,需
kresk,生长
manĝ,吃
memor,记住
serĉ,找
trink,喝
konsil,劝告
permes,准许
postul,要求
rakont,叙述
rigard,看
rimark,察觉
ŝanĝ,变换
vojaĝ,旅行
konstru,建造
prezent,展示
renkont,遇见
bru,噪声
dub,怀疑
lav,洗涤
lud,玩耍
pen,努力
vek,唤醒
vok,呼唤
aper,显现
bril,闪耀
erar,错
fest,庆祝
frap,敲打
gajn,赢得
kapt,抓住
kaŝ,藏匿
kovr,覆盖
kuir,烹煮
kuŝ,躺下
paŝ,步行
plor,哭泣
romp,破坏
salt,跳跃
serv,服务
tuŝ,触碰
vend,卖
zorg,关心
batal,战斗
elekt,选
esper,期望
koler,生气
mezur,测量
opini,认为
ordon,命令
plend,抱怨
ripoz,休息
salut,问候
sufer,痛苦
akcept,接纳
forges,忘记
kalkul,计算
komerc,经商
konduk,引导
pardon,原谅
silent,沉默
tranĉ,切割
konsent,同意
aŭskult,听
ban,洗澡
flu,流动
kre,创作
mok,嘲笑
amuz,逗乐
ĉes,停
efik,生效
gard,守护
juĝ,判决
klin,倾斜
pend,挂
puŝ,推
spir,呼吸
stud,研读
ŝat,重视
tond,剪毛
traf,命中
ating,达成
decid,决定
estim,尊敬
invit,邀请
kurac,治病
marŝ,行进
plaĉ,讨喜
ripet,重复
ŝlos,锁上
ŝtel,偷窃
vizit,访问
aranĝ,安排
ekzist,存在
instru,教导
intenc,意图
kompat,怜悯
prefer,偏爱
prepar,准备
promen,散步
promes,承诺
sukces,成功
konserv,保存
bol,沸腾
kis,吻
obe,服从
paf,射击
pel,驱赶
pik,刺
pun,罚
sav,救助
tus,咳嗽
akir,获取
apog,支撑
atak,攻击
bala,扫除
blov,吹
ĉas,猎
danc,舞蹈
eduk,教育
evit,避开
fleg,护理
glit,滑动
gvid,引导
ĝen,妨碍
hejt,生火
hont,羞愧
imag,想象
imit,仿效
komb,梳理
mend,预订
miks,混合
naĝ,游泳
plug,耕犁
pres,印刷
soif,渴
spez,转账
ŝir,撕裂
trem,颤抖
trov,找
venk,胜利
viŝ,擦拭
volv,缠绕
anonc,公告
aprob,赞同
avert,警告
merit,应得
minac,威胁
pentr,绘画
posed,拥有
preĝ,祈祷
rifuz,拒绝
rilat,关联
ripar,修理
skrap,刮擦
ŝerc,戏弄
tromp,欺骗
defend,防卫
desegn,画图
esting,灭
inform,通知
kompar,对比
kondut,表现
konfes,承认
konsci,意识到
kultur,栽培
mensog,撒谎
rezult,结果
rikolt,收获
streĉ,紧张
ŝovel,铲起
akompan,陪伴
aparten,属于
bedaŭr,惋惜
konsist,组成
organiz,组织
progres,进步
respekt,尊敬
riproĉ,责备
diferenc,不同
rekomend,推荐
korespond,通信
enu,厌倦
fid,信任
ĝu,享受
hak,砍伐
log,吸引
pek,犯罪
pes,称重
raz,剃刮
dron,溺死
fajf,吹哨
fand,熔化
farm,租种
fart,健康状况
frot,摩擦
ĝem,呻吟
krev,裂开
kudr,缝合
mord,咬
muel,磨碾
nutr,养育
odor,散发气味
rajd,骑乘
solv,解决
taks,评估
teks,织
tent,诱惑
urĝ,紧急
babil,闲聊
detru,毁坏
difin,定义
distr,分心
diven,猜测
divid,分割
etend,展开
evolu,进化
forĝ,锻造
frand,品尝
grimp,攀爬
hezit,犹豫
kroĉ,挂住
laŭd,赞扬
mason,砌筑
ofert,供给
ornam,装饰
petol,顽皮
sonĝ,梦
stern,铺开
supoz,假设
ŝirm,保护
ŝpar,节省
ŝtop,堵塞
ŝuld,欠债
ŝvel,膨胀
toler,忍受
verŝ,倒，浇
aspekt,显得
daŭr/ig##,daŭr/ig##
difekt,损坏
diskut,讨论
domaĝ,惜惜
ekscit,激发
ekzerc,训练
esplor,探究
esprim,表达
konsol,安慰
murmur,低语
prezid,主持
signif,意指
skulpt,雕刻
traduk,翻译
ekskurs,远足
ekzamen,考核
komunik,传达
koncern,涉及
konstat,确认
protekt,护
protest,抗议
renvers,颠覆
surpriz,惊讶
konsider,考虑
persekut,迫害
reprezent,代表
bak,烤
ben,祝福
boj,吠叫
bor,钻孔
ced,让步
cit,引用
lek,舔
rab,抢劫
rav,陶醉
rem,划船
rev,梦
seg,锯
sku,摇动
ted,烦扰
teg,覆盖
abon,订阅
dung,雇用
envi,嫉妒
flar,嗅闻
fond,创立
frit,油炸
friz,烫卷
gest,手势
glad,熨烫
glut,吞咽
ĵur,誓言
kned,揉面
maĉ,嚼
melk,挤奶
migr,迁徙
munt,安装
ofer,献祭
pent,悔悟
pruv,证实
pump,泵送
putr,腐烂
ramp,爬行
risk,冒险
ronk,鼾声
rost,烤
sven,昏倒
ŝov,推移
ŝut,撒
tajl,裁剪
tord,扭
tren,拖拉
vari,变化
velk,枯萎
adici,加
admir,赞赏
admon,劝告
adopt,收养
akcel,加速
atest,证明
ĉerp,汲取
degel,融化
deleg,派遣
fleks,弯曲
flirt,飘扬
hered,继承
influ,影响
kares,抚摸
medit,沉思
naŭz,恶心
osced,呵欠
paŝt,牧放
paŭz,暂停
pinĉ,捏夹
plekt,编织
regal,款待
ribel,反叛
sopir,想念
sorĉ,施魔法
strik,罢工
sufok,窒息
sving,挥动
ŝarg,装填
ŝmir,涂抹
trakt,处理
tremp,浸入
afrank,贴邮票
asekur,保险
balanc,摇摆
barakt,挣扎
dediĉ,献身
deklar,宣布
destin,注定
disput,争论
escept,除外
festen,宴会
frakas,粉碎
gratul,祝贺
ilustr,插图
import,进口
insist,坚持
instal,安装
instig,激励
insult,辱骂
komand,指挥
komisi,委托
konfid,信赖
konfit,糖渍
konfuz,混乱
konkur,竞争
kritik,批评
observ,观察
penetr,穿透
perfid,背叛
proced,进行
raport,报告
reklam,广告
rezign,放弃
rezist,抵抗
rifuĝ,避难
brak/um##,brak/um##
civiliz,开化
ĉagren,烦恼
de/pend##,de/pend##
disting,辨别
eksplod,爆炸
garanti,保证
komplez,讨好
kondamn,判罪
konfirm,确认
konjekt,猜测
konklud,结论
kontrol,检验
konvink,说服
operaci,手术
plen/um##,plen/um##
pretend,声称
suspekt,怀疑
turment,折磨
distribu,分配
fanfaron,吹牛
kontrakt,订合同
mastr/um##,mastr/um##
prokrast,延期
administr,管理
el/turn/iĝ##,el/turn/iĝ##
entrepren,从事
dec,适宜
juk,痒
lul,摇晃入睡
vad,涉水
vag,游荡
vet,赌
vom,吐出
zum,嗡嗡叫
ador,崇拜
agit,煽动
akuz,控告
alud,暗指
bapt,洗礼
bind,装订
blek,叫声
bred,饲养
buĉ,屠杀
ĉif,皱折
dikt,口述
dres,驯服
ekip,装备
est/ig##,est/ig##
fast,斋戒
flat,奉承
flik,修补
fuĝ,逃跑
fuŝ,搞砸
garn,装饰
grat,抓挠
hav/ig##,hav/ig##
izol,隔离
jung,套挂
lukt,搏斗
muĝ,吼叫
opon,反对
palp,摸索
pekl,腌制
pere,死去
pli/ig##,pli/ig##
sark,除草
sekc,切断
sorb,吸收
spit,蔑视
suĉ,吸吮
svat,做媒
tajp,打字
tern,喷嚏
tikl,痒痒
tint,叮当响
trik,编织
trud,强加
vart,抚育
adapt,适应
aplik,应用
asert,断言
asist,协助
balot,投票
ĉe/est##,ĉe/est##
delir,谵妄
depon,存放
deput,选派
enket,调查
eskap,逃脱
falĉ,割草
flagr,闪烁
for/est##,for/est##
grinc,刺耳响
ignor,无视
impet,冲刺
incit,激怒
indik,指示
insid,陷害
inund,淹没
kraĉ,吐唾
liver,交付
menci,提及
modif,修正
ofend,冒犯
rezon,推理
rivel,揭示
start,开始
susur,沙沙响
ŝpin,纺织
trejn,训练
venĝ,复仇
abstin,节制
aflikt,苦恼
altern,交替
balbut,结巴
cirkul,循环
deĵor,值勤
denunc,告发
de/ten##,de/ten##
dev/ont/ig##,dev/ont/ig##
digest,消化
dispon,支配
dorlot,宠溺
eksped,寄送
el/don##,el/don##
establ,设立
flustr,低语
grimac,扮鬼脸
grumbl,抱怨
implik,卷入
indign,愤怒
indulg,宽恕
infekt,感染
injekt,注射
inspir,激发
invent,发明
klopod,奔走
kolizi,碰撞
kombin,组合
kompon,构成
konsum,消费
korekt,纠正
lubrik,润滑
manovr,演习
plonĝ,跳水
preleg,演讲
propon,提议
provok,挑衅，引起
recenz,评论
redakt,编辑
redukt,缩小
revizi,校订
ŝpruc,喷洒
aplaŭd,鼓掌
blasfem,亵渎
bon/vol##,bon/vol##
brokant,旧货买卖
eksport,出口
ekzekut,处决
gust/um##,gust/um##
iniciat,发起
kalumni,诽谤
kompens,补偿
komplik,复杂化
kontest,异议
manipul,操控
neglekt,忽视
persist,坚持
prononc,发音
prosper,繁荣
reflekt,反射
re/form##,re/form##
subtrah,减去
ŝancel,摇晃
televid,看电视
determin,确定
ekspluat,剥削
koncentr,集中
mistifik,愚弄
preskrib,指示
revoluci,革命
riverenc,鞠躬
interpret,口译
kompromit,连累
multiplik,乘
propagand,宣传
konversaci,交谈
interpelaci,质询
erp,耕地
kov,孵卵
lut,焊接
pep,啾啾叫
tan,鞣革
agac,惹恼
brod,刺绣
brog,烫
ĉiz,雕刻
edif,教化
fajl,磨光
krak,噼啪响
kroz,巡航
pist,捣碎
rasp,刮擦
rast,耙
rigl,闩上
rukt,嗳气
sibl,嘶嘶作响
skiz,素描
sput,吐痰
steb,缝合
stuk,抹灰
ŝim,发霉
torn,旋转
trot,小跑
urin,排尿
varb,招募
adult,偷情
afekt,装作
akuŝ,分娩
arest,逮捕
asign,分配
atenc,危害
draŝ,打谷
drink,喝
ekzil,放逐
filtr,过滤
infuz,浸泡
kribr,筛选
parad,列队行进
rabot,刨削
rafin,精炼
satur,饱和
sieĝ,围攻
skerm,击剑
strab,斜视
ŝmac,啧嘴
uzurp,篡夺
veget,生长
border,镶边
ĉikan,刁难
degrad,降级
diboĉ,纵情声色
distil,蒸馏
drapir,覆布
gargar,漱口
gravur,雕刻
guvern,养育
ilumin,照亮
inokul,接种
intrig,策划阴谋
ĵongl,杂耍
kartav,咽音发r
kontuz,打伤
likvid,清算
makler,中介
plaŭd,拍水声
predik,说教
rembur,填充
ventol,通风
deĉifr,解码
degener,退化
diskont,贴现
ferment,发酵
kalfatr,填缝
kolport,兜售
kompost,排版
konspir,密谋
konvert,改宗
paraliz,麻痹
proklam,宣布
singult,打嗝
ĉarpent,木工
hipokrit,伪善
intermit,间歇
konstern,惊愕
marĉand,砍价
kapitulac,投降
kaŭteriz,腐蚀
komentari,评论
koment,注释
poz,摆姿势
vak,空着
boks,拳击
ĝir,转账
kirl,搅拌
klak,咔嗒响
kluk,咯咯叫
knar,吱嘎作响
murd,杀害
pled,辩护
sond,探测
tatu,纹身
abdik,退位
abort,流产
agoni,垂死挣扎
aklam,欢呼
amput,截肢
aneks,合并
aspir,渴望
deriv,派生
feder,联合
impon,震慑
invad,入侵
kaŭr,蹲下
klaĉ,闲聊
kliŝ,刻板印象
kotiz,缴费
marin,腌制
miaŭ,猫叫
modul,转调
refut,反驳
rikan,嘲笑
streb,努力
svarm,群集
ŝveb,漂浮
absorb,吸引
akapar,囤积购买
analiz,分析
asimil,同化
asperg,洒水
atribu,分配
aŭgur,占卜
bojkot,抵制
cenzur,审查
dedukt,推理
deklam,朗诵
dekolt,露肩
indukt,归纳
kompil,编译
konced,承认
konker,征服
korupt,贿赂
kverel,争吵
lament,悲叹
narkot,麻醉
stimul,激励
strigl,梳理
ŝrump,枯萎
amortiz,摊销
anticip,预期
apelaci,上诉
bankrot,破产
bombard,轰炸
emancip,解放
inspekt,检查
katekiz,教理问答
koincid,符合
konfisk,没收
konsekr,奉献
konsult,咨询
legitim,证明
mobiliz,动员
pilgrim,朝圣
improviz,即兴创作
inaŭgur,揭幕式
karambol,撞球
kateĥiz,教理问答
klasifik,分类
kontribu,贡献
litograf,石版印刷
prostitu,卖淫
centraliz,集中
stenograf,速记
ekskomunik,破门
karakteriz,特征化
aĵ,物品
ant,现分词
ebl,可…的
iĝ,变成
ind,值得
int,已完成
ism,主义
ist,者
obl,倍数的
ont,将来分词
estr,长
aĉ,劣质
ĉj##,ĉj##
end,应被
ing,套件
ajn,无论
ĉi##,ĉi##
eĉ##,eĉ##
for,远离
iam,某时
iom,一些
jam,已
jen,看，这里
jes,是
kie,哪里
mem,自身
nun,现在
nur,仅仅
pli,更
plu,继续
tie,那里
tre,非常
tro,过于
tuj,立刻
ĉie,到处
ĵus,刚刚
kiam,何时
plej,最
tial,因此
tiam,那时
tiel,如此
tiom,那么多
ĉiam,总是
nenie,无处
ankaŭ,也
neniam,从不
baldaŭ,很快
hieraŭ,昨天
hodiaŭ,今天
morgaŭ,明天
tie ĉi##,tie ĉi##
almenaŭ,至少
ankoraŭ,仍然
preskaŭ,几乎
tiel ĉi##,tiel ĉi##
oft,经常
ial,某种原因
iel,某种方法
volont,自愿
des,更
neniom,毫无
ĉial,各种理由
ĉiom,全量
ia/foj##,ia/foj##
nenial,无缘无故
neniel,绝不
parker,记住
foj,次回
hom,人
jar,年
kap,头部
kor,心脏
lok,地点
man,手
nom,名字
tag,日
ter,地
vir,男士
voj,路
afer,事物
amik,友人
form,形状
kamp,田地
land,国土
mond,世界
naci,民族
patr,父亲
temp,时间
vort,词语
flank,侧面
infan,儿童
patr/in##,patr/in##
ĉambr,房间
sinjor,先生
akv,水
arb,树木
art,艺术
dom,房屋
edz,丈夫
fil,儿子
har,毛发
hor,时刻
lit,床铺
mar,海
mon,钱
mur,墙壁
pac,和平
pec,片块
sun,太阳
urb,市镇
bild,图像
bird,鸟
buŝ,口
frat,兄弟
hejm,家
knab,男孩
kort,庭院
libr,书本
mont,山
okul,眼睛
part,部分
pied,脚
pord,门口
rajt,权利
tabl,桌台
vent,风
vest,衣服
fingr,指头
frukt,果实
kolor,色彩
leter,信件
lingv,语言
maten,早晨
popol,人民
punkt,点
rimed,方法
valor,价值
ĉeval,马
famili,家庭
fraŭl,未婚男士
person,人
semajn,周
vesper,傍晚
vizaĝ,面部
fenestr,窗
aer,空气
aĝ,年龄
cel,目标
fer,铁
ide,观念
kat,猫
kol,颈部
mez,中间
naz,鼻
nub,云
ord,顺序
pan,面包
roz,玫瑰
best,动物
bord,岸边
brak,手臂
dent,牙齿
fajr,火
fiŝ,鱼
flor,花
glas,杯
hund,狗
korp,体
lakt,奶
lign,木材
lini,线条
mark,标记
neĝ,雪
nokt,夜间
onkl,叔伯舅姨父
orel,耳朵
plum,笔尖
pluv,雨
rond,圆形
sang,血
seĝ,椅子
spec,种类
stat,状态
supr,顶上
ŝip,船
vitr,玻璃
angul,角落
daŭr,持续时间
dolor,痛苦
gazet,刊物
kaŭz,原因
kutim,习惯
minut,分
monat,月份
natur,自然
nombr,数目
paper,纸
plank,地板
river,河流
somer,夏天
staci,站台
strat,街道
suker,糖
ŝton,石头
vagon,车厢
veter,天气
vintr,冬天
aŭtun,秋
ĉapel,帽子
direkt,方向
kolekt,收集品
moment,瞬间
plezur,愉快
vilaĝ,村庄
ekzempl,例子
ĝarden,园
histori,历史
printemp,春天
bov,牛
ink,墨水
kaf,咖啡
kok,公鸡
kuk,蛋糕
kuz,堂兄弟
lag,湖泊
lim,界限
lun,月亮
maj,五月
pak,包裹
sak,袋
sum,总和
tru,洞孔
vin,酒
anim,灵魂
azen,驴
benk,长椅
dors,背部
foli,叶片
font,泉源
fund,底部
genu,膝盖
gren,谷物
grup,群体
herb,草
juli,七月
juni,六月
kart,卡片
klas,班级
korb,篮筐
kruc,十字架
krur,腿部
lang,舌头
leĝ,法
lund,周一
mard,周二
mart,三月
ofic,职务
ombr,影
paĝ,页
pork,猪
poŝ,袋
radi,光线
reĝ,国王
senc,意义
stel,星星
ŝaf,绵羊
verk,著作
voĉ,声音
adres,地址
april,四月
brust,胸部
buter,奶油
donac,礼物
glaci,冰
kuler,匙
mastr,主人
muzik,音乐
numer,号
poŝt,邮政
prunt,借贷
sabat,周六
ŝtat,国家
ŝtup,台阶
teler,盘
terur,恐怖
vapor,气体
insekt,昆虫
januar,一月
ĵaŭd,周四
kovert,信封
krajon,铅笔
manier,方式
objekt,物体
oktobr,十月
plafon,天花板
region,区域
religi,宗教
spirit,灵魂
arĝent,银
danĝer,危险
decembr,十二月
dimanĉ,周日
februar,二月
horloĝ,钟表
merkred,周三
novembr,十一月
produkt,产品
vendred,星期五
septembr,九月
bar,障碍
bek,鸟喙
fak,专业
fum,烟
gas,气体
gut,滴
jak,夹克
kel,地窖
kuv,桶
lip,唇
nep,孙
nev,侄甥
not,笔记
ole,油
ond,波浪
ost,骨头
par,一对
pom,苹果
pot,壶罐
rad,轮子
ret,网
sal,盐
sap,肥皂
sem,种子
sud,南方
sup,汤
ŝu,鞋子
tas,杯子
tol,布料
tuk,布巾
ung,爪
val,谷地
vic,列
barb,胡须
bros,刷子
fakt,事实
flag,旗帜
fork,叉子
forn,炉
gast,客人
gras,脂肪
kapr,山羊
karb,煤炭
kest,箱
korn,角
krim,犯罪
lamp,灯
mebl,家具
mien,神情
muŝ,苍蝇
nord,北方
past,糊状物
pilk,球体
pint,尖端
polv,尘埃
pont,桥
prez,价
rand,边缘
regn,国家
seri,系列
sign,符号
sort,命运
spic,香料
vang,面颊
vost,尾巴
vund,伤
botel,瓶子
buton,扣子
cifer,数字
faden,线
frunt,额头
haŭt,皮肤
honor,荣誉
insul,岛屿
kajer,本子
kamen,炉灶
legom,蔬菜
liter,字母
metal,金属
pingl,针
polic,警察
polur,光泽
premi,奖品
regul,规则
sezon,季节
ŝanc,机会
ŝnur,绳子
tabul,板
viand,肉类
baston,杖
branĉ,枝
ĉemiz,衬衫
doktor,博士
kravat,领带
lecion,课程
maŝin,机器
milion,百万
najbar,邻人
parenc,亲属
publik,公众
scienc,科学
sekret,秘密
skatol,盒子
soldat,士兵
spegul,镜
ŝarĝ,货物
ŝrank,橱柜
tualet,服饰
ĉapitr,章，篇
fromaĝ,奶酪
kondiĉ,条件
praktik,实践
serpent,蛇
ŝtrump,袜子
tegment,顶棚
telefon,电话
industri,产业
kilogram,千克
okcident,西方
pantalon,裤子
abi,冷杉
agl,雕类鸟
ber,浆果
bot,靴
bul,球块
dat,日期
glu,胶
jup,裙子
kav,洞穴
lan,毛织物
led,皮革
mod,时尚
mor,习俗
pin,松树
pip,烟斗
piz,豌豆
put,井
rel,轨道
riz,米
rok,岩石
suk,汁液
tem,主题
tub,管
tur,塔楼
vat,棉絮
vaz,器皿
zon,带
arme,军队
bank,银行
bien,庄园
bier,啤酒
bret,架子
brik,砖块
cikl,周期
ĉap,帽子
drat,线材
epok,时代
fask,捆束
feri,假期
film,影片
flam,火焰
flos,筏子
fojn,干草
fulm,闪电
glob,球体
grad,程度
gust,味觉
kadr,框架
krem,奶油
kurb,曲线
kurs,课程
larm,泪
leon,狮子
litr,升
luks,奢华
meti,手艺
metr,米
najl,钉
nest,巢穴
pajl,稻草
plac,广场
plad,菜盘
plan,计划
poet,诗人
pugn,拳头
ring,环圈
sabl,沙
scen,舞台
skal,刻度
soci,社会
spac,空间
stal,马厩
task,任务
tomb,墓地
verm,虫类
vers,诗句
viol,紫罗兰
agord,和音
balon,气球
bilet,票券
burĝ,中产者
centr,中心
etaĝ,楼层
farun,粉末
figur,形状
frost,严寒
gorĝ,喉部
grund,土壤
haven,港口
hotel,旅馆
humor,情绪
karot,胡萝卜
katar,炎症
kling,刀刃
koton,棉
kvant,量
lepor,野兔
makul,污点
manik,袖口
membr,成员
mizer,贫困
nebul,雾气
organ,器官
parti,党派
pastr,神职者
radik,根
serur,锁
solid,固体
sonor,响声
strek,线条
ŝvit,汗水
tabak,烟草
tabel,表格
titol,标题
tondr,雷声
valiz,旅行箱
ventr,腹部
alumet,火柴
aparat,装置
brasik,甘蓝
citron,香橼
ĉifon,破布
dekliv,坡面
dezert,沙漠
elektr,电
energi,能量
fianĉ,未婚配偶
hirund,燕子
kelner,侍者
kvalit,质量
majstr,大师
mantel,披风
martel,锤子
matrac,床垫
menton,下巴
oranĝ,橙
origin,起源
potenc,权力
salajr,薪水
sekund,秒钟
societ,社团
stomak,胃部
ŝultr,肩膀
tapiŝ,地毯
tritik,小麦
aventur,冒险
cigared,香烟
distanc,距离
embaras,尴尬
kamarad,伙伴
kaserol,炖锅
komitat,委员会
kongres,大会
kvadrat,正方形
magazen,仓库
pasport,护照
politik,政治
registr,登记簿
ter/pom##,ter/pom##
akcident,事故
aŭtobus,公交车
aŭtomat,自动机
ĉokolad,巧克力
direktor,主管
instinkt,本能
